cliente_id,edad,ingreso_anual_estimado,gasto_anual_total,frecuencia_compra_anual,meses_cliente,ticket_promedio,region
CLI-00917,41,47246148,1497654,6,13,249609,Metropolitana
CLI-00918,18,11709496,841227,5,19,168245,Metropolitana
CLI-00919,30,46115791,1825707,12,17,152142,Antofagasta
CLI-00920,18,13456081,1000182,20,10,50009,Metropolitana
CLI-00921,31,34433564,1355121,7,60,193588,Metropolitana
CLI-00922,36,47974037,1966143,7,30,280877,Araucanía
CLI-00923,23,42549853,1881138,1,30,1881138,Antofagasta
CLI-00924,27,19963407,793429,2,4,396714,Metropolitana
CLI-00925,23,17411888,953449,8,9,119181,Biobío
CLI-00926,33,36001608,1712137,1,8,1712137,Antofagasta
CLI-00927,34,29342007,1970276,7,19,281468,Metropolitana
CLI-00928,42,37848884,1641078,5,12,328215,Metropolitana
CLI-00929,33,40566218,2203136,43,36,51235,Metropolitana
CLI-00930,34,27607001,1341719,4,40,335429,Araucanía
CLI-00931,50,50130986,1951403,2,7,975701,Metropolitana
CLI-00932,31,47455386,2278541,3,12,759513,Araucanía
CLI-00933,31,28407470,1487198,3,9,495732,Metropolitana
CLI-00934,35,56560157,1768220,1,29,1768220,Valparaíso
CLI-00935,23,14276269,1203830,18,54,66879,Araucanía
CLI-00936,18,32251810,1583251,1,53,1583251,Biobío
CLI-00937,23,50650846,2649817,11,9,240892,Metropolitana
CLI-00938,22,4590864,235454,16,52,14715,Araucanía
CLI-00939,32,6041479,461862,1,38,461862,Antofagasta
CLI-00940,24,71306894,2334071,3,6,778023,Metropolitana
CLI-00941,28,79084161,3865179,2,107,1932589,Biobío
CLI-00942,36,100436664,4642011,2,25,2321005,Metropolitana
CLI-00943,33,19025426,998163,10,61,99816,Valparaíso
CLI-00944,46,85951231,4981295,7,11,711613,Valparaíso
CLI-00945,36,12773340,829224,23,3,36053,Metropolitana
CLI-00946,31,15100745,1564246,2,11,782123,Metropolitana
CLI-00947,18,14340128,1232676,2,55,616338,Biobío
CLI-00948,29,80020927,5887484,2,30,2943742,Biobío
CLI-00949,23,20355452,1346978,1,92,1346978,Antofagasta
CLI-00950,29,34545731,1538042,1,4,1538042,Metropolitana
CLI-00951,26,37089562,3741675,17,37,220098,Metropolitana
CLI-00952,34,57023469,2166776,2,16,1083388,Metropolitana
CLI-00953,38,28186832,1876461,10,12,187646,Metropolitana
CLI-00954,39,25448144,1047715,10,9,104771,Metropolitana
CLI-00955,36,14844857,749384,2,11,374692,Metropolitana
CLI-00956,18,56160096,2723831,3,18,907943,Metropolitana
CLI-00957,36,34284561,1810046,1,36,1810046,Valparaíso
CLI-00958,41,4005275,199448,2,9,99724,Araucanía
CLI-00959,52,15267363,1383149,1,24,1383149,Metropolitana
CLI-00960,31,136321566,5158051,66,82,78152,Metropolitana
CLI-00961,22,40472664,1618363,3,12,539454,Metropolitana
CLI-00962,43,52199895,1810546,16,42,113159,Valparaíso
CLI-00963,46,23046516,856790,1,15,856790,Metropolitana
CLI-00964,21,26981851,1038784,3,30,346261,Biobío
CLI-00965,35,72670268,3425884,7,15,489412,Metropolitana
CLI-00966,27,17172141,1546293,17,22,90958,Valparaíso
CLI-00967,35,8108369,665834,13,18,51218,Antofagasta
CLI-00968,29,6161822,550432,2,13,275216,Metropolitana
CLI-00969,18,37010195,3115708,1,4,3115708,Valparaíso
CLI-00970,34,31086640,2177892,3,3,725964,Biobío
CLI-00971,40,38154563,1837615,5,51,367523,Metropolitana
CLI-00972,27,7006166,528425,24,37,22017,Valparaíso
CLI-00973,33,36332251,1544207,20,8,77210,Metropolitana
CLI-00974,32,34312854,2679177,7,5,382739,Valparaíso
CLI-00975,44,25140506,1756034,1,29,1756034,Araucanía
CLI-00976,52,21777946,1352551,2,17,676275,Biobío
CLI-00977,35,56275370,2195283,5,12,439056,Biobío
CLI-00978,35,58874337,2988111,5,5,597622,Biobío
CLI-00979,35,38965195,1275481,2,30,637740,Metropolitana
CLI-00980,18,30711658,1350477,2,7,675238,Araucanía
CLI-00981,54,10755592,705086,11,9,64098,Metropolitana
CLI-00982,51,34752341,2528835,7,13,361262,Antofagasta
CLI-00983,42,15119486,878607,5,12,175721,Biobío
CLI-00984,50,112444838,4903989,4,3,1225997,Biobío
CLI-00985,20,13246542,411603,5,4,82320,Biobío
CLI-00986,40,61447537,2862823,9,93,318091,Metropolitana
CLI-00987,20,14811347,890401,1,19,890401,Araucanía
CLI-00988,34,25885440,1182947,9,4,131438,Biobío
CLI-00989,24,28854931,1733462,10,31,173346,Biobío
CLI-00990,18,24788360,823611,11,19,74873,Biobío
CLI-00991,54,64646858,2690888,1,8,2690888,Valparaíso
CLI-00992,24,8941824,510947,7,17,72992,Valparaíso
CLI-00993,44,51738633,2252525,19,52,118553,Metropolitana
CLI-00994,18,23609423,1694363,14,30,121025,Metropolitana
CLI-00995,33,18562897,1755448,2,28,877724,Metropolitana
CLI-00996,26,38730851,3220453,1,28,3220453,Araucanía
CLI-00997,37,40260336,1716896,27,24,63588,Metropolitana
CLI-00998,33,18222919,1514684,16,3,94667,Metropolitana
CLI-00999,43,48884882,3018499,6,5,503083,Metropolitana
CLI-01000,34,10332533,401499,14,29,28678,Metropolitana
CLI-01001,29,27056824,905696,6,8,150949,Araucanía
CLI-01002,51,38804795,1270370,2,8,635185,Metropolitana
CLI-01003,35,9292819,741886,1,10,741886,Biobío
CLI-01004,25,32663098,2704999,15,31,180333,Metropolitana
CLI-01005,28,128111173,5044945,1,7,5044945,Metropolitana
CLI-01006,32,29123234,1699059,10,7,169905,Metropolitana
CLI-01007,34,39060847,2871732,5,80,574346,Metropolitana
CLI-01008,48,90522210,4021649,11,59,365604,Metropolitana
CLI-01009,20,32489481,1057554,9,23,117506,Metropolitana
CLI-01010,30,13066007,550476,32,16,17202,Metropolitana
CLI-01011,34,19492646,1335700,3,44,445233,Valparaíso
CLI-01012,18,16000747,737740,22,3,33533,Valparaíso
CLI-01013,34,16285749,711602,1,43,711602,Metropolitana
CLI-01014,42,14755773,1194459,2,23,597229,Araucanía
CLI-01015,41,51442081,2364262,4,5,591065,Valparaíso
CLI-01016,41,56846288,2517237,12,11,209769,Valparaíso
CLI-01017,32,13719383,552297,10,7,55229,Araucanía
CLI-01018,18,19501965,834324,10,58,83432,Metropolitana
CLI-01019,34,104761897,4271653,13,21,328588,Metropolitana
CLI-01020,42,34432742,1328536,9,49,147615,Valparaíso
CLI-01021,37,17251708,824602,3,34,274867,Araucanía
CLI-01022,29,59614573,3187542,5,22,637508,Metropolitana
CLI-01023,31,22214526,1456645,15,5,97109,Metropolitana
CLI-01024,46,46338007,1901645,1,29,1901645,Valparaíso
CLI-01025,44,39187721,1955729,6,16,325954,Araucanía
CLI-01026,35,44180193,1566588,1,20,1566588,Metropolitana
CLI-01027,25,11455517,722613,7,15,103230,Metropolitana
CLI-01028,40,82083647,3226286,8,4,403285,Metropolitana
CLI-01029,44,17791268,831988,3,9,277329,Araucanía
CLI-01030,28,94598390,4884236,15,44,325615,Valparaíso
CLI-01031,45,23856193,1612635,2,39,806317,Valparaíso
CLI-01032,22,64474089,2101910,9,4,233545,Biobío
CLI-01033,47,52296524,2314065,8,34,289258,Valparaíso
CLI-01034,18,11675334,853846,5,12,170769,Valparaíso
CLI-01035,67,19290381,956868,1,26,956868,Metropolitana
CLI-01036,23,99958744,3055860,28,58,109137,Valparaíso
CLI-01037,39,7563856,494937,14,12,35352,Metropolitana
CLI-01038,42,90388767,5877855,35,53,167938,Metropolitana
CLI-01039,37,51501450,3038796,11,47,276254,Metropolitana
CLI-01040,18,27848155,2255973,2,10,1127986,Metropolitana
CLI-01041,36,97956819,3687283,2,22,1843641,Metropolitana
CLI-01042,24,35759663,1602312,27,7,59344,Metropolitana
CLI-01043,39,69303771,2369591,31,62,76438,Antofagasta
CLI-01044,23,20571310,990092,5,13,198018,Metropolitana
CLI-01045,32,24037107,997317,21,75,47491,Biobío
CLI-01046,40,23162661,1834374,15,22,122291,Valparaíso
CLI-01047,29,16354308,881722,14,35,62980,Metropolitana
CLI-01048,48,124160398,4631787,10,18,463178,Metropolitana
CLI-01049,49,18297842,1659855,1,35,1659855,Antofagasta
CLI-01050,52,87431555,2818392,29,17,97185,Biobío
CLI-01051,28,17230540,1618430,4,23,404607,Biobío
CLI-01052,37,18071358,1359986,2,11,679993,Metropolitana
CLI-01053,26,31185089,1102350,3,33,367450,Metropolitana
CLI-01054,24,43092997,2250759,1,9,2250759,Metropolitana
CLI-01055,40,24933719,1166811,11,4,106073,Metropolitana
CLI-01056,27,21729218,1198016,24,64,49917,Biobío
CLI-01057,33,38192486,2232183,8,14,279022,Araucanía
CLI-01058,30,41107040,1864580,1,36,1864580,Araucanía
CLI-01059,36,34871020,2118185,6,27,353030,Valparaíso
CLI-01060,18,64717249,3701983,1,12,3701983,Biobío
CLI-01061,47,68590361,2582719,17,25,151924,Valparaíso
CLI-01062,18,28079327,2591448,2,22,1295724,Metropolitana
CLI-01063,20,27861389,876880,8,47,109610,Biobío
CLI-01064,52,24244019,1543457,5,8,308691,Araucanía
CLI-01065,28,56636424,2088333,10,13,208833,Antofagasta
CLI-01066,35,39115526,2414852,1,9,2414852,Metropolitana
CLI-01067,39,189829155,7883330,10,21,788333,Antofagasta
CLI-01068,43,76224553,3637071,25,30,145482,Metropolitana
CLI-01069,28,35475672,1128237,4,3,282059,Metropolitana
CLI-01070,48,51531588,2339344,4,6,584836,Araucanía
CLI-01071,39,122767289,4977920,13,33,382916,Antofagasta
CLI-01072,36,21325403,1596465,9,5,177385,Metropolitana
CLI-01073,40,23734698,2103722,3,8,701240,Biobío
CLI-01074,28,43799101,2966890,7,6,423841,Biobío
CLI-01075,20,63378134,2425030,38,5,63816,Metropolitana
CLI-01076,38,13457815,700064,1,40,700064,Valparaíso
CLI-01077,27,23232310,2227432,1,44,2227432,Biobío
CLI-01078,18,79871860,3024688,7,3,432098,Biobío
CLI-01079,50,47636744,2095748,7,48,299392,Metropolitana
CLI-01080,41,10717290,725822,16,16,45363,Metropolitana
CLI-01081,39,35038462,2171620,3,17,723873,Araucanía
CLI-01082,23,28147127,1709054,8,4,213631,Metropolitana
CLI-01083,41,38491746,3193145,4,15,798286,Metropolitana
CLI-01084,28,36773996,2976799,10,8,297679,Araucanía
CLI-01085,36,29511640,2568306,5,29,513661,Antofagasta
CLI-01086,30,41516819,2510257,16,35,156891,Metropolitana
CLI-01087,29,9149068,890833,18,65,49490,Valparaíso
CLI-01088,23,39792228,3143136,9,8,349237,Metropolitana
CLI-01089,36,32347800,1281527,11,14,116502,Biobío
CLI-01090,31,139907821,4887978,4,71,1221994,Biobío
CLI-01091,42,50785247,1547626,14,24,110544,Metropolitana
CLI-01092,33,39031726,2389731,12,24,199144,Metropolitana
CLI-01093,37,91877141,3778789,56,3,67478,Biobío
CLI-01094,32,39597323,1681169,6,93,280194,Metropolitana
CLI-01095,21,57693710,2147467,4,4,536866,Metropolitana
CLI-01096,48,41151374,2008646,41,16,48991,Valparaíso
CLI-01097,18,62574459,2565501,33,14,77742,Valparaíso
CLI-01098,32,12292845,855529,7,27,122218,Araucanía
CLI-01099,29,172688256,6484147,18,7,360230,Biobío
CLI-01100,29,8323131,393814,7,12,56259,Metropolitana
CLI-01101,41,72584961,3886808,1,65,3886808,Araucanía
CLI-01102,18,14949595,860036,16,5,53752,Biobío
CLI-01103,19,9503049,960307,1,46,960307,Valparaíso
CLI-01104,32,25817951,1257794,8,43,157224,Metropolitana
CLI-01105,39,62916318,3599960,3,4,1199986,Araucanía
CLI-01106,33,77220983,4145724,30,12,138190,Antofagasta
CLI-01107,37,34833797,1651018,2,14,825509,Metropolitana
CLI-01108,25,18489067,1585335,25,15,63413,Metropolitana
CLI-01109,37,18236925,760479,9,10,84497,Biobío
CLI-01110,29,20796489,1620871,2,8,810435,Antofagasta
CLI-01111,32,13002343,768413,1,12,768413,Biobío
CLI-01112,30,29031589,1922019,1,28,1922019,Metropolitana
CLI-01113,37,38675939,2161559,1,10,2161559,Biobío
CLI-01114,43,75105015,3609667,12,32,300805,Metropolitana
CLI-01115,18,31658555,1574033,13,6,121079,Valparaíso
CLI-01116,38,88219146,3492210,8,45,436526,Antofagasta
CLI-01117,40,31414162,2258763,3,39,752921,Metropolitana
CLI-01118,27,12014268,1034346,6,20,172391,Biobío
CLI-01119,18,139586661,5480662,5,12,1096132,Biobío
CLI-01120,29,10798711,883346,16,21,55209,Biobío
CLI-01121,37,13670568,1033732,4,11,258433,Metropolitana
CLI-01122,19,32076415,2350076,1,6,2350076,Metropolitana
CLI-01123,36,71200738,2751609,2,31,1375804,Biobío
CLI-01124,46,34227606,1617782,19,3,85146,Antofagasta
CLI-01125,27,48669959,2216930,6,15,369488,Antofagasta
CLI-01126,39,89027247,3995381,2,4,1997690,Biobío
CLI-01127,22,41614051,3361789,2,14,1680894,Araucanía
CLI-01128,32,42748037,1785387,1,69,1785387,Valparaíso
CLI-01129,38,141028011,5221644,5,23,1044328,Biobío
CLI-01130,18,80594946,3406157,21,7,162197,Araucanía
CLI-01131,36,13379567,649808,15,13,43320,Biobío
CLI-01132,41,23165743,1322850,17,36,77814,Biobío
CLI-01133,18,28286695,1097335,1,9,1097335,Metropolitana
CLI-01134,37,29413437,1645312,7,15,235044,Metropolitana
CLI-01135,18,35468351,1320155,3,19,440051,Metropolitana
CLI-01136,37,64100825,2859288,7,6,408469,Valparaíso
CLI-01137,42,37858506,1276589,1,51,1276589,Metropolitana
CLI-01138,28,10584684,815262,6,50,135877,Biobío
CLI-01139,42,7634523,443398,1,3,443398,Valparaíso
CLI-01140,38,17604767,906813,41,18,22117,Biobío
CLI-01141,25,47361799,1819894,4,89,454973,Valparaíso
CLI-01142,31,19763403,1011376,8,10,126422,Metropolitana
CLI-01143,31,50471783,3010918,2,109,1505459,Metropolitana
CLI-01144,31,21695405,1211832,3,8,403944,Antofagasta
CLI-01145,18,37577844,1495978,2,74,747989,Metropolitana
CLI-01146,38,4986696,230453,5,50,46090,Metropolitana
CLI-01147,43,37358624,1368482,11,40,124407,Metropolitana
CLI-01148,47,34721673,2383205,8,4,297900,Biobío
CLI-01149,34,49410735,1736758,2,61,868379,Araucanía
CLI-01150,22,13505478,682868,23,50,29689,Metropolitana
CLI-01151,61,23282620,809248,23,45,35184,Antofagasta
CLI-01152,26,95921580,4108988,13,30,316076,Metropolitana
CLI-01153,42,65408781,2250869,1,33,2250869,Biobío
CLI-01154,31,46515028,2301487,6,50,383581,Antofagasta
CLI-01155,37,62012398,5895836,2,99,2947918,Valparaíso
CLI-01156,35,88743772,5511776,1,38,5511776,Biobío
CLI-01157,24,29418569,958215,25,78,38328,Biobío
CLI-01158,18,6692214,417842,10,33,41784,Valparaíso
CLI-01159,36,11613407,442086,21,18,21051,Valparaíso
CLI-01160,32,51613730,2405252,12,8,200437,Metropolitana
CLI-01161,25,55185540,2776923,2,52,1388461,Araucanía
CLI-01162,18,34408217,1951739,12,7,162644,Araucanía
CLI-01163,22,62626287,2637058,2,48,1318529,Antofagasta
CLI-01164,43,27054325,1195280,9,34,132808,Valparaíso
CLI-01165,38,24903464,1616099,15,18,107739,Araucanía
CLI-01166,40,70493732,5093124,2,71,2546562,Metropolitana
CLI-01167,37,16550846,761787,3,19,253929,Biobío
CLI-01168,26,62536888,3705734,3,10,1235244,Antofagasta
CLI-01169,35,24367530,1887737,1,5,1887737,Antofagasta
CLI-01170,40,54534000,1863096,29,13,64244,Biobío
CLI-01171,42,6753948,514010,10,3,51401,Antofagasta
CLI-01172,29,51150051,2232304,4,9,558076,Biobío
CLI-01173,52,19775010,1108346,1,3,1108346,Metropolitana
CLI-01174,18,26246593,2190652,4,74,547663,Biobío
CLI-01175,27,62620243,2598368,5,12,519673,Antofagasta
CLI-01176,31,18946183,1718826,14,20,122773,Metropolitana
CLI-01177,18,112336536,3761948,3,15,1253982,Metropolitana
CLI-01178,21,25249951,1272830,29,10,43890,Biobío
CLI-01179,18,47518032,2127208,4,7,531802,Metropolitana
CLI-01180,42,28134341,1122742,1,3,1122742,Metropolitana
CLI-01181,25,75474062,3749755,8,18,468719,Metropolitana
CLI-01182,41,12072524,512822,3,10,170940,Metropolitana
CLI-01183,35,86974402,3515993,10,103,351599,Biobío
CLI-01184,34,31884331,1930314,4,14,482578,Araucanía
CLI-01185,18,40143484,2438659,14,4,174189,Valparaíso
CLI-01186,32,14390232,513065,33,36,15547,Valparaíso
CLI-01187,34,51958426,2360877,4,4,590219,Metropolitana
CLI-01188,30,12308586,823386,6,44,137231,Araucanía
CLI-01189,32,90576244,3313431,21,38,157782,Metropolitana
CLI-01190,50,41705926,2388474,3,4,796158,Metropolitana
CLI-01191,30,43213281,3337031,1,60,3337031,Metropolitana
CLI-01192,29,52385222,2742578,41,21,66892,Metropolitana
CLI-01193,38,26682845,1020458,5,42,204091,Biobío
CLI-01194,26,30188199,1930765,4,11,482691,Valparaíso
CLI-01195,32,91083597,3558934,9,39,395437,Antofagasta
CLI-01196,31,28841076,1280329,1,7,1280329,Biobío
CLI-01197,36,27352257,1539455,1,4,1539455,Antofagasta
CLI-01198,43,12793067,1048473,2,34,524236,Metropolitana
CLI-01199,51,39855564,2779561,6,32,463260,Antofagasta
CLI-01200,33,23527625,939664,1,12,939664,Metropolitana
CLI-01201,35,32043609,1170225,2,12,585112,Metropolitana
CLI-01202,40,28154500,1001775,10,11,100177,Biobío
CLI-01203,47,19283505,1461609,3,10,487203,Metropolitana
CLI-01204,24,8361785,452486,1,52,452486,Valparaíso
CLI-01205,31,65071659,3718597,16,34,232412,Antofagasta
CLI-01206,43,53604194,3557801,18,15,197655,Metropolitana
CLI-01207,32,32858260,1307519,5,21,261503,Araucanía
CLI-01208,24,74457419,2899908,6,33,483318,Araucanía
CLI-01209,38,6366603,588824,7,10,84117,Metropolitana
CLI-01210,36,6642832,720654,1,22,720654,Metropolitana
CLI-01211,28,12562735,946671,3,12,315557,Metropolitana
CLI-01212,32,52140918,1748852,18,12,97158,Biobío
CLI-01213,26,101824387,4593019,4,101,1148254,Araucanía
CLI-01214,47,21890225,747627,14,19,53401,Valparaíso
CLI-01215,48,25388040,838995,12,10,69916,Valparaíso
CLI-01216,32,9665519,850196,1,18,850196,Metropolitana
CLI-01217,45,175264182,5960640,1,6,5960640,Biobío
CLI-01218,38,29260346,1153053,34,13,33913,Biobío
CLI-01219,18,61312950,2166360,6,8,361060,Biobío
CLI-01220,26,13292434,1362009,2,33,681004,Antofagasta
CLI-01221,43,65610552,2923544,25,39,116941,Metropolitana
CLI-01222,43,7859081,263888,10,14,26388,Biobío
CLI-01223,26,19758937,2110429,2,42,1055214,Antofagasta
CLI-01224,27,14128372,1019761,3,17,339920,Metropolitana
CLI-01225,32,20331293,2090699,5,11,418139,Antofagasta
CLI-01226,41,65615872,3151415,1,44,3151415,Metropolitana
CLI-01227,40,17513650,1375419,5,25,275083,Metropolitana
CLI-01228,40,37077633,1560536,8,85,195067,Araucanía
CLI-01229,31,15299730,568079,9,13,63119,Metropolitana
CLI-01230,29,45569714,2538848,5,19,507769,Valparaíso
CLI-01231,35,32073467,1095207,12,25,91267,Valparaíso
CLI-01232,48,11949944,756862,30,5,25228,Valparaíso
CLI-01233,45,16289696,636205,4,66,159051,Metropolitana
CLI-01234,53,45871016,3446851,9,39,382983,Metropolitana
CLI-01235,20,12293953,1065580,13,38,81967,Metropolitana
CLI-01236,18,24738079,1594535,10,5,159453,Araucanía
CLI-01237,43,49194689,1820693,2,56,910346,Metropolitana
CLI-01238,33,37230482,2125420,2,32,1062710,Metropolitana
CLI-01239,27,26408590,859852,20,12,42992,Metropolitana
CLI-01240,27,26314626,1715508,1,58,1715508,Araucanía
CLI-01241,46,41809777,2077549,19,3,109344,Metropolitana
CLI-01242,24,78021920,2390623,5,11,478124,Valparaíso
CLI-01243,37,33650370,2331353,1,15,2331353,Antofagasta
CLI-01244,27,5653615,369277,33,23,11190,Antofagasta
CLI-01245,20,14178409,645949,12,7,53829,Araucanía
CLI-01246,18,14145846,1225412,10,4,122541,Antofagasta
CLI-01247,44,8471998,317029,6,18,52838,Valparaíso
CLI-01248,46,38427543,1909175,4,64,477293,Biobío
CLI-01249,22,42154205,2444653,1,26,2444653,Metropolitana
CLI-01250,23,21837546,1431996,16,32,89499,Antofagasta
CLI-01251,18,40071516,1717791,4,39,429447,Araucanía
CLI-01252,25,32391147,2420631,18,13,134479,Metropolitana
CLI-01253,27,76903965,2564579,13,8,197275,Metropolitana
CLI-01254,35,92331153,4035707,15,80,269047,Biobío
CLI-01255,22,24936576,877574,1,24,877574,Antofagasta
CLI-01256,34,27232757,1705223,30,13,56840,Valparaíso
CLI-01257,27,59567956,3887472,8,104,485934,Biobío
CLI-01258,37,20436774,1079349,10,11,107934,Metropolitana
CLI-01259,43,19097767,1354508,1,4,1354508,Antofagasta
CLI-01260,18,6231803,233959,16,7,14622,Metropolitana
CLI-01261,45,46840594,2851745,2,31,1425872,Valparaíso
CLI-01262,27,22893147,2444938,21,53,116425,Biobío
CLI-01263,31,31504333,945769,4,21,236442,Araucanía
CLI-01264,28,45810024,1520945,2,75,760472,Biobío
CLI-01265,18,23633033,2392636,29,22,82504,Metropolitana
CLI-01266,30,26492729,1921172,7,10,274453,Araucanía
CLI-01267,26,42694612,2293992,30,108,76466,Valparaíso
CLI-01268,38,38917731,2546365,6,32,424394,Biobío
CLI-01269,34,10751217,607821,8,36,75977,Metropolitana
CLI-01270,45,24716251,1259662,7,44,179951,Metropolitana
CLI-01271,40,41361819,2004683,19,12,105509,Biobío
CLI-01272,41,13439121,1087113,1,11,1087113,Metropolitana
CLI-01273,46,30228575,1300740,1,26,1300740,Araucanía
CLI-01274,21,11815675,889320,1,22,889320,Antofagasta
CLI-01275,33,25962045,896476,11,3,81497,Metropolitana
CLI-01276,33,7893624,668354,7,6,95479,Metropolitana
CLI-01277,35,79741551,4876954,10,7,487695,Biobío
CLI-01278,42,9344122,561306,15,19,37420,Biobío
CLI-01279,34,32193397,1466588,17,6,86269,Valparaíso
CLI-01280,27,34461415,2688600,15,20,179240,Metropolitana
CLI-01281,30,29039044,3004916,16,77,187807,Metropolitana
CLI-01282,28,39875444,1944435,3,21,648145,Metropolitana
CLI-01283,42,15242665,951408,33,28,28830,Antofagasta
CLI-01284,33,18722007,1629555,3,9,543185,Valparaíso
CLI-01285,38,20067015,715012,1,4,715012,Biobío
CLI-01286,18,66566970,2689581,3,84,896527,Antofagasta
CLI-01287,45,45652853,1439015,8,101,179876,Araucanía
CLI-01288,23,19327992,805764,18,28,44764,Metropolitana
CLI-01289,29,21279194,865087,9,120,96120,Biobío
CLI-01290,57,26080243,2319362,18,4,128853,Araucanía
CLI-01291,19,47203397,1787681,1,19,1787681,Araucanía
CLI-01292,33,18594955,973172,6,7,162195,Metropolitana
CLI-01293,32,83454688,3432367,22,14,156016,Valparaíso
CLI-01294,41,18751808,783275,17,60,46075,Valparaíso
CLI-01295,41,68655007,2900656,4,6,725164,Biobío
CLI-01296,46,33036637,2345787,13,13,180445,Metropolitana
CLI-01297,26,11401159,865164,1,13,865164,Metropolitana
CLI-01298,23,33894889,2674675,1,3,2674675,Valparaíso
CLI-01299,24,96607721,3669569,3,17,1223189,Araucanía
CLI-01300,22,43476989,3535755,2,9,1767877,Metropolitana
CLI-01301,33,20601481,1260761,9,20,140084,Biobío
CLI-01302,18,32797008,1452420,1,5,1452420,Araucanía
CLI-01303,35,27176306,1397253,14,9,99803,Araucanía
CLI-01304,18,85326233,3316163,25,28,132646,Biobío
CLI-01305,21,19347540,1408425,9,52,156491,Metropolitana
CLI-01306,27,17338921,1285361,6,4,214226,Metropolitana
CLI-01307,25,33375446,1843734,26,69,70912,Metropolitana
CLI-01308,27,44363906,1341280,13,13,103175,Biobío
CLI-01309,47,12580016,1013169,1,5,1013169,Biobío
CLI-01310,25,18156848,594291,1,23,594291,Metropolitana
CLI-01311,25,58118831,2047776,25,29,81911,Metropolitana
CLI-01312,28,16170395,1386565,5,4,277313,Valparaíso
CLI-01313,61,7054712,477560,1,40,477560,Metropolitana
CLI-01314,41,19719920,1217744,6,45,202957,Biobío
CLI-01315,34,30089692,1361757,2,38,680878,Biobío
CLI-01316,49,19734111,698191,2,5,349095,Biobío
CLI-01317,30,41303201,2321735,7,4,331676,Biobío
CLI-01318,31,15164596,571187,1,37,571187,Metropolitana
CLI-01319,37,65684325,4297729,15,43,286515,Metropolitana
CLI-01320,32,61647780,1996574,3,7,665524,Metropolitana
CLI-01321,27,11466850,725312,14,7,51808,Araucanía
CLI-01322,22,43635773,1888444,4,34,472111,Araucanía
CLI-01323,50,106309352,3776613,12,57,314717,Valparaíso
CLI-01324,32,51425041,2304080,1,4,2304080,Metropolitana
CLI-01325,30,38982793,1646695,4,20,411673,Biobío
CLI-01326,35,36800045,1256431,2,5,628215,Metropolitana
CLI-01327,44,17564641,1625131,10,13,162513,Biobío
CLI-01328,33,22974479,1209656,2,64,604828,Valparaíso
CLI-01329,48,55428749,2198056,19,52,115687,Antofagasta
CLI-01330,41,12628242,1169465,9,26,129940,Metropolitana
CLI-01331,51,36161175,1613831,1,5,1613831,Biobío
CLI-01332,56,59994213,2121965,5,17,424393,Valparaíso
CLI-01333,35,21294709,2085201,16,40,130325,Biobío
CLI-01334,38,114225971,4368257,2,11,2184128,Antofagasta
CLI-01335,38,21335394,2199654,3,22,733218,Metropolitana
CLI-01336,27,12361982,997001,29,29,34379,Antofagasta
CLI-01337,22,37595151,1538679,38,31,40491,Biobío
CLI-01338,36,14775642,1309522,3,8,436507,Valparaíso
CLI-01339,37,22553917,913250,1,3,913250,Valparaíso
CLI-01340,57,18300953,936937,1,16,936937,Biobío
CLI-01341,20,28464804,2093223,2,7,1046611,Valparaíso
CLI-01342,38,18777372,684878,3,23,228292,Valparaíso
CLI-01343,36,79935905,2578068,11,20,234369,Araucanía
CLI-01344,24,38618293,3376583,19,51,177714,Biobío
CLI-01345,31,48628147,5029819,9,120,558868,Valparaíso
CLI-01346,28,34539169,1981835,6,14,330305,Metropolitana
CLI-01347,35,44004818,1280941,7,39,182991,Biobío
CLI-01348,53,28758562,2521971,14,8,180140,Biobío
CLI-01349,42,27637680,1594738,21,63,75939,Araucanía
CLI-01350,49,6327195,409622,5,27,81924,Araucanía
CLI-01351,38,26496016,1643463,10,18,164346,Valparaíso
CLI-01352,49,8936253,538170,8,94,67271,Metropolitana
CLI-01353,42,24818162,1802860,5,17,360572,Metropolitana
CLI-01354,47,28697273,1244500,1,49,1244500,Valparaíso
CLI-01355,43,70673628,2155903,9,12,239544,Biobío
CLI-01356,32,25097393,904021,29,5,31173,Araucanía
CLI-01357,22,19709073,721394,13,52,55491,Metropolitana
CLI-01358,18,41542232,2428388,4,19,607097,Antofagasta
CLI-01359,26,23857593,1024022,9,8,113780,Antofagasta
CLI-01360,53,11300923,1205874,23,13,52429,Araucanía
CLI-01361,32,33164663,1500722,10,36,150072,Metropolitana
CLI-01362,53,17509480,1069563,12,11,89130,Metropolitana
CLI-01363,24,59486159,1821200,7,6,260171,Biobío
CLI-01364,24,26405809,1499428,1,4,1499428,Araucanía
CLI-01365,42,30538034,1724692,11,23,156790,Biobío
CLI-01366,28,54970156,3415859,3,14,1138619,Antofagasta
CLI-01367,37,16572550,1261200,5,18,252240,Metropolitana
CLI-01368,24,34442878,3403077,2,4,1701538,Biobío
CLI-01369,26,76527586,3365931,3,13,1121977,Biobío
CLI-01370,35,25218377,1167553,5,16,233510,Araucanía
CLI-01371,39,58214018,2690204,16,22,168137,Biobío
CLI-01372,42,32479817,1064382,16,98,66523,Metropolitana
CLI-01373,26,74436638,2604604,5,11,520920,Biobío
CLI-01374,34,15203659,1003288,3,42,334429,Biobío
